日付,"日本国内
累計罹患者数","日本国内
新規罹患者数",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2020/08/28,66663,876,16,0,0,5,0,0,5,6,7,6,56,39,226,75,1,6,8,16,0,19,0,6,51,5,8,21,106,26,2,0,0,0,2,2,10,3,3,0,1,66,6,5,7,0,2,5,42
2020/08/29,67507,844,9,0,0,5,1,0,6,4,1,2,55,33,247,106,1,8,7,5,0,18,4,2,45,0,5,17,90,20,2,2,0,0,0,1,7,1,0,0,5,76,2,5,11,0,2,3,31
2020/08/30,68107,600,4,0,0,1,0,1,1,2,0,3,42,39,148,64,0,3,4,11,1,12,0,0,36,3,3,9,62,13,5,0,0,0,0,1,6,0,0,0,1,80,0,1,2,1,1,2,33
2020/08/31,68543,436,8,0,0,3,0,0,3,1,0,3,25,17,100,50,0,3,2,6,0,7,0,0,42,12,6,4,53,8,3,0,0,0,0,0,4,2,0,0,0,30,0,1,9,0,1,1,23
2020/09/01,69176,633,16,0,3,3,0,0,6,4,3,5,46,18,170,59,1,6,27,4,0,5,3,2,24,0,2,22,114,21,5,0,0,0,0,0,2,3,1,0,3,38,0,1,4,2,1,1,0
2020/09/02,69768,592,6,0,0,4,0,0,1,6,1,6,40,24,141,76,1,3,13,4,0,7,4,2,28,3,2,19,96,7,1,1,0,0,0,1,5,4,4,0,1,49,2,0,4,3,0,0,14
2020/09/03,70425,657,6,0,0,12,1,0,4,4,1,12,42,33,211,81,0,3,11,2,1,12,1,1,18,5,4,19,74,13,2,0,0,0,1,0,3,4,2,0,1,36,0,2,6,1,0,5,19
2020/09/04,71012,587,5,0,1,5,0,0,1,8,1,8,24,35,136,108,0,1,4,3,0,4,1,2,33,11,1,24,74,13,5,0,0,0,0,0,0,4,0,0,0,34,0,0,3,2,0,2,27
2020/09/05,71610,598,10,0,0,8,0,0,2,6,0,3,22,28,181,67,0,1,16,2,1,2,0,7,34,25,3,25,76,9,3,1,0,0,0,0,3,0,0,0,1,27,1,0,6,4,1,1,20
2020/09/06,72061,451,4,0,0,3,0,0,3,10,1,8,21,23,116,79,0,0,7,0,1,1,0,0,27,0,0,14,67,16,4,1,0,0,0,0,3,0,0,0,1,35,0,0,2,0,0,0,0
2020/09/07,72352,291,6,0,0,7,0,0,1,0,4,9,14,14,76,29,0,1,4,0,1,3,0,0,21,11,2,8,45,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,18
2020/09/08,72861,509,11,0,0,7,0,0,5,5,2,5,12,32,170,63,1,3,4,1,1,2,2,0,12,8,1,11,81,18,1,1,0,0,0,4,0,1,1,0,2,28,1,0,3,0,0,0,9
2020/09/09,73369,508,4,0,0,11,0,0,2,1,3,5,25,23,149,106,1,1,6,0,0,1,2,5,21,2,1,6,63,22,1,0,0,0,0,0,5,0,0,0,0,26,0,0,3,1,0,1,8
2020/09/10,74081,712,11,0,0,8,0,0,5,4,4,4,30,28,276,112,0,1,4,0,1,2,1,4,36,5,1,7,92,21,2,0,0,0,0,0,4,0,1,0,0,24,1,0,4,0,0,0,16
2020/09/11,74723,642,6,0,0,15,0,0,9,13,5,12,25,31,187,82,0,0,2,0,0,1,5,1,48,5,1,2,120,14,1,1,1,0,0,0,1,0,0,0,3,25,1,0,7,0,1,0,10
2020/09/12,75369,646,7,0,0,12,0,0,4,3,10,24,36,45,226,68,1,0,6,0,0,0,6,0,29,2,3,7,83,20,1,0,8,0,0,2,0,1,2,0,0,14,0,1,4,0,2,0,11
2020/09/13,75808,439,3,0,0,8,0,0,4,3,0,6,22,20,146,53,1,0,0,0,0,0,12,0,33,3,0,8,77,15,0,0,1,0,0,2,0,0,0,0,0,9,0,0,1,0,0,0,10
2020/09/14,76074,266,8,0,0,3,1,0,3,2,21,6,16,11,80,15,0,0,1,0,0,0,2,0,23,3,0,4,32,8,1,0,1,0,1,4,0,0,3,0,0,7,0,1,0,0,1,0,3
2020/09/15,76605,531,8,0,0,18,0,0,3,2,9,14,19,30,191,52,2,0,5,0,0,1,2,2,21,1,1,13,89,23,4,0,0,0,0,2,0,0,0,0,0,11,0,0,1,0,1,1,4
2020/09/16,77156,551,11,0,0,6,0,0,3,2,1,24,29,37,163,101,2,0,0,0,1,2,0,5,22,2,2,9,78,20,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,8
2020/09/17,77645,489,7,0,0,9,0,0,1,3,6,11,20,34,171,65,5,1,6,0,0,0,0,3,36,1,1,9,57,16,1,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,5
2020/09/18,78217,572,17,0,0,5,0,0,0,1,1,27,24,40,220,78,3,1,2,0,0,0,0,3,40,2,1,5,60,12,0,0,1,0,1,1,0,0,0,0,0,8,0,0,1,0,0,0,12
2020/09/19,78813,596,17,0,0,14,1,0,0,1,9,15,23,46,218,68,1,0,6,0,0,2,1,2,31,1,1,8,81,21,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,13
2020/09/20,79293,480,16,0,0,2,1,0,3,1,2,19,16,35,162,60,3,0,4,0,0,0,0,3,33,1,1,18,59,5,2,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,15
2020/09/21,79603,310,15,0,0,2,0,0,4,3,12,7,15,14,97,20,0,0,2,0,0,2,2,0,19,4,1,5,39,27,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,7
2020/09/22,79934,331,9,0,0,3,0,0,1,2,2,13,14,18,88,38,0,0,4,0,0,0,1,0,9,5,0,7,67,13,1,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,11,6
2020/09/23,80153,219,12,0,0,3,0,0,2,1,6,1,12,20,59,11,0,0,1,0,0,0,3,0,14,3,2,3,39,1,2,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,13
2020/09/24,80635,482,11,0,0,8,0,0,4,1,3,4,21,26,193,58,3,0,2,0,0,0,3,0,34,1,2,5,66,8,0,0,0,2,1,3,0,0,0,0,0,5,0,0,1,0,0,4,6
2020/09/25,81208,573,25,0,0,2,0,0,10,1,15,8,27,31,195,78,0,1,8,0,1,0,5,4,38,5,3,5,62,12,2,0,0,1,1,10,0,0,0,0,0,5,0,0,0,0,0,7,6
2020/09/26,81847,639,7,0,0,4,0,0,0,5,1,2,23,38,269,90,2,1,2,0,0,0,5,4,24,5,4,11,66,22,2,0,0,0,2,11,1,0,0,0,0,6,1,0,0,0,0,5,20
2020/09/27,82332,485,19,0,0,3,0,0,5,1,0,1,35,21,144,65,0,0,3,0,1,2,0,2,49,1,5,5,48,16,0,2,0,0,1,16,2,0,0,0,1,4,0,0,0,0,0,6,20
2020/09/28,82634,302,17,1,0,5,0,0,4,11,0,0,20,16,78,17,0,1,0,0,1,0,6,0,19,7,0,8,36,10,5,0,0,0,1,16,0,0,0,0,0,1,0,0,0,0,0,1,14
2020/09/29,83161,527,16,0,0,2,0,0,0,3,1,0,25,40,211,58,0,4,0,0,3,0,1,2,28,1,6,8,51,18,1,1,0,0,0,14,2,0,0,0,0,4,0,0,2,0,0,3,19
2020/09/30,83737,576,16,0,0,7,0,0,2,5,3,2,28,34,194,79,0,2,0,0,4,4,3,7,26,6,1,15,59,15,1,1,0,0,3,15,1,1,0,0,0,8,0,0,1,0,0,2,25
2020/10/01,84370,633,19,0,0,7,0,0,0,2,1,5,33,38,234,78,0,2,1,0,3,1,1,7,21,14,1,5,76,21,5,0,0,0,0,3,0,0,0,0,0,3,0,2,3,0,0,5,29
2020/10/02,84912,542,15,1,0,5,0,0,10,9,1,13,30,34,196,66,0,1,0,0,0,1,0,3,19,2,0,9,50,29,1,0,0,0,0,8,0,0,0,0,0,4,0,0,2,0,0,2,25
2020/10/03,85486,574,18,0,1,7,0,0,0,3,2,6,50,42,205,59,0,0,0,0,1,1,2,6,16,2,0,7,51,15,5,0,0,0,1,14,0,0,0,0,0,7,1,0,8,0,0,1,29
2020/10/04,85886,400,22,0,0,3,5,0,4,5,2,3,35,37,107,37,0,0,0,0,0,1,1,1,18,3,2,4,39,15,1,0,0,0,0,1,0,1,0,1,0,3,0,0,19,0,0,3,20
