É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/06/09 07:55:43

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
2020/3/1 12:00:00,15.7,8,1,0,1,8,1,1.3,8,êºìÏêº,8,1,1012.2,8,1,42,8,1,7.5,8,1,3,8,1,10-,8,1
2020/3/1 13:00:00,17.0,8,1,0,1,8,1,1.7,8,êºñkêº,8,1,1011.5,8,1,36,8,1,7.0,8,1,,0,1,,0,1
2020/3/1 14:00:00,17.0,8,1,0,1,8,1,1.9,8,ìÏìÏìå,8,1,1011.4,8,1,39,8,1,7.6,8,1,,0,1,,0,1
2020/3/1 15:00:00,16.1,8,1,0,1,8,1,3.4,8,ìÏìÏìå,8,1,1011.5,8,1,39,8,1,7.1,8,1,3,8,1,9,8,1
2020/3/1 16:00:00,15.4,8,1,0,1,8,1,3.2,8,ìÏìÏìå,8,1,1011.5,8,1,41,8,1,7.2,8,1,,0,1,,0,1
2020/3/1 17:00:00,14.7,8,1,0,1,8,1,3.1,8,ìÏ,8,1,1012.4,8,1,44,8,1,7.4,8,1,,0,1,,0,1
2020/3/1 18:00:00,13.3,8,1,0,1,8,1,2.3,8,ìÏ,8,1,1012.7,8,1,51,8,1,7.8,8,1,3,8,1,10-,8,1
2020/3/1 19:00:00,12.4,8,1,0,1,8,1,2.4,8,ìÏìÏìå,8,1,1013.6,8,1,67,8,1,9.6,8,1,,0,1,,0,1
2020/3/1 20:00:00,12.9,8,1,0,1,8,1,4.4,8,ìÏìå,8,1,1014.4,8,1,68,8,1,10.1,8,1,,0,1,,0,1
2020/3/1 21:00:00,12.4,8,1,0,1,8,1,2.2,8,ìå,8,1,1015.2,8,1,66,8,1,9.5,8,1,4,8,1,10-,8,1
2020/3/1 22:00:00,12.1,8,1,0,1,8,1,3.9,8,ìåñkìå,8,1,1015.6,8,1,61,8,1,8.6,8,1,,0,1,,0,1
2020/3/1 23:00:00,11.7,8,1,0,1,8,1,4.0,8,ìåñkìå,8,1,1015.5,8,1,62,8,1,8.5,8,1,,0,1,,0,1
2020/3/2 00:00:00,11.2,8,1,0,1,8,1,3.9,8,ìåñkìå,8,1,1014.8,8,1,65,8,1,8.6,8,1,,0,1,,0,1
2020/3/2 1:00:00,10.8,8,1,0,1,8,1,4.2,8,ìåñkìå,8,1,1014.8,8,1,67,8,1,8.7,8,1,,0,1,,0,1
2020/3/2 2:00:00,9.3,8,1,0.0,0,8,1,2.1,8,ñkìå,8,1,1015.3,8,1,83,8,1,9.7,8,1,,0,1,,0,1
2020/3/2 3:00:00,8.4,8,1,1.0,0,8,1,2.2,8,ñkìå,8,1,1014.6,8,1,88,8,1,9.7,8,1,10,8,1,10,8,1
2020/3/2 4:00:00,7.9,8,1,0.5,0,8,1,4.0,8,ìåñkìå,8,1,1014.5,8,1,90,8,1,9.6,8,1,,0,1,,0,1
2020/3/2 5:00:00,7.8,8,1,0.0,0,8,1,3.8,8,ñkñkìå,8,1,1015.1,8,1,87,8,1,9.2,8,1,,0,1,,0,1
2020/3/2 6:00:00,7.2,8,1,0.5,0,8,1,3.0,8,ñkñkìå,8,1,1015.2,8,1,93,8,1,9.4,8,1,10,8,1,10,8,1
2020/3/2 7:00:00,6.9,8,1,1.0,0,8,1,3.5,8,ñkñkìå,8,1,1014.9,8,1,94,8,1,9.4,8,1,,0,1,,0,1
2020/3/2 8:00:00,6.7,8,1,0.5,0,8,1,2.8,8,ñk,8,1,1015.6,8,1,97,8,1,9.5,8,1,,0,1,,0,1
2020/3/2 9:00:00,6.5,8,1,1.5,0,8,1,2.8,8,ñk,8,1,1015.5,8,1,97,8,1,9.4,8,1,10,8,1,10,8,1
2020/3/2 10:00:00,6.3,8,1,1.5,0,8,1,2.2,8,ñkñkêº,8,1,1015.0,8,1,97,8,1,9.3,8,1,,0,1,,0,1
2020/3/2 11:00:00,6.2,8,1,0.5,0,8,1,3.6,8,ñkñkêº,8,1,1014.3,8,1,97,8,1,9.2,8,1,,0,1,,0,1
2020/3/2 12:00:00,6.3,8,1,0.0,0,8,1,3.5,8,ñkñkêº,8,1,1013.2,8,1,98,8,1,9.4,8,1,10,8,1,10,8,1
2020/3/2 13:00:00,6.4,8,1,1.0,0,8,1,2.6,8,ñkñkêº,8,1,1012.0,8,1,98,8,1,9.4,8,1,,0,1,,0,1
2020/3/2 14:00:00,6.7,8,1,0.5,0,8,1,2.8,8,ñkñkêº,8,1,1011.3,8,1,97,8,1,9.5,8,1,,0,1,,0,1
2020/3/2 15:00:00,7.0,8,1,0.5,0,8,1,3.4,8,ñkêº,8,1,1011.2,8,1,96,8,1,9.6,8,1,10,8,1,10,8,1
2020/3/2 16:00:00,7.2,8,1,0.0,0,8,1,2.7,8,ñkñkêº,8,1,1011.3,8,1,96,8,1,9.8,8,1,,0,1,,0,1
2020/3/2 17:00:00,7.4,8,1,0.5,0,8,1,2.2,8,ñkñkêº,8,1,1011.5,8,1,97,8,1,10.0,8,1,,0,1,,0,1
2020/3/2 18:00:00,7.2,8,1,0.5,0,8,1,1.4,8,ñk,8,1,1011.6,8,1,98,8,1,10.0,8,1,10,8,1,10,8,1
2020/3/2 19:00:00,7.3,8,1,0.0,0,8,1,1.1,8,ñk,8,1,1012.0,8,1,98,8,1,10.0,8,1,,0,1,,0,1
2020/3/2 20:00:00,7.4,8,1,0,1,8,1,1.6,8,ñk,8,1,1012.1,8,1,98,8,1,10.1,8,1,,0,1,,0,1
2020/3/2 21:00:00,7.2,8,1,0,1,8,1,2.7,8,ñkêº,8,1,1012.6,8,1,96,8,1,9.8,8,1,4,8,1,10,8,1
2020/3/2 22:00:00,7.4,8,1,0,1,8,1,1.7,8,ñkñkìå,8,1,1013.2,8,1,96,8,1,9.9,8,1,,0,1,,0,1
2020/3/2 23:00:00,7.2,8,1,0,1,8,1,2.0,8,ñk,8,1,1013.1,8,1,96,8,1,9.8,8,1,,0,1,,0,1
2020/3/3 00:00:00,7.3,8,1,0,1,8,1,0.5,8,ñkñkêº,8,1,1013.3,8,1,94,8,1,9.6,8,1,,0,1,,0,1
2020/3/3 1:00:00,6.5,8,1,0,1,8,1,1.5,8,ñkêº,8,1,1013.6,8,1,94,8,1,9.1,8,1,,0,1,,0,1
2020/3/3 2:00:00,6.2,8,1,0,1,8,1,1.7,8,ñkêº,8,1,1013.7,8,1,97,8,1,9.2,8,1,,0,1,,0,1
2020/3/3 3:00:00,5.8,8,1,0,1,8,1,3.4,8,ñkêº,8,1,1013.9,8,1,99,8,1,9.1,8,1,1,8,1,1,8,1
2020/3/3 4:00:00,5.6,8,1,0,1,8,1,1.8,8,êºñkêº,8,1,1014.6,8,1,98,8,1,8.9,8,1,,0,1,,0,1
2020/3/3 5:00:00,5.7,8,1,0,1,8,1,2.4,8,ñkêº,8,1,1015.1,8,1,91,8,1,8.3,8,1,,0,1,,0,1
2020/3/3 6:00:00,7.6,8,1,0,1,8,1,4.7,8,ñkêº,8,1,1015.5,8,1,63,8,1,6.6,8,1,2,8,1,5,8,1
2020/3/3 7:00:00,8.0,8,1,0,1,8,1,3.4,8,ñkñkêº,8,1,1016.0,8,1,61,8,1,6.5,8,1,,0,1,,0,1
2020/3/3 8:00:00,9.8,8,1,0,1,8,1,2.4,8,ñk,8,1,1017.4,8,1,57,8,1,6.9,8,1,,0,1,,0,1
2020/3/3 9:00:00,11.8,8,1,0,1,8,1,6.1,8,ñkêº,8,1,1017.8,8,1,45,8,1,6.2,8,1,2,8,1,7,8,1
2020/3/3 10:00:00,13.0,8,1,0,1,8,1,6.0,8,ñkêº,8,1,1018.0,8,1,40,8,1,6.0,8,1,,0,1,,0,1
2020/3/3 11:00:00,14.4,8,1,0,1,8,1,4.7,8,ñkêº,8,1,1018.0,8,1,42,8,1,6.9,8,1,,0,1,,0,1
2020/3/3 12:00:00,15.5,8,1,0,1,8,1,4.0,8,ñkêº,8,1,1017.3,8,1,37,8,1,6.5,8,1,2,8,1,5,8,1
2020/3/3 13:00:00,16.1,8,1,0,1,8,1,3.0,8,ñkêº,8,1,1016.5,8,1,31,8,1,5.7,8,1,,0,1,,0,1
2020/3/3 14:00:00,16.8,8,1,0,1,8,1,2.4,8,êºñkêº,8,1,1016.5,8,1,34,8,1,6.5,8,1,,0,1,,0,1
2020/3/3 15:00:00,16.0,8,1,0,1,8,1,1.3,8,ìÏêº,8,1,1016.6,8,1,28,8,1,5.1,8,1,2,8,1,8,8,1
2020/3/3 16:00:00,15.4,8,1,0,1,8,1,4.4,8,ìÏìÏìå,8,1,1017.0,8,1,37,8,1,6.5,8,1,,0,1,,0,1
2020/3/3 17:00:00,14.2,8,1,0,1,8,1,3.6,8,ìÏìÏêº,8,1,1017.5,8,1,45,8,1,7.3,8,1,,0,1,,0,1
2020/3/3 18:00:00,12.8,8,1,0,1,8,1,2.3,8,ìÏ,8,1,1018.4,8,1,50,8,1,7.4,8,1,2,8,1,3,8,1
2020/3/3 19:00:00,12.1,8,1,0,1,8,1,2.2,8,ìÏìÏìå,8,1,1019.3,8,1,55,8,1,7.8,8,1,,0,1,,0,1
2020/3/3 20:00:00,12.2,8,1,0,1,8,1,3.3,8,ìå,8,1,1019.9,8,1,62,8,1,8.8,8,1,,0,1,,0,1
2020/3/3 21:00:00,12.2,8,1,0,1,8,1,1.9,8,ìå,8,1,1020.3,8,1,60,8,1,8.5,8,1,4,8,1,10-,8,1
2020/3/3 22:00:00,11.8,8,1,0,1,8,1,4.3,8,ìå,8,1,1020.9,8,1,56,8,1,7.8,8,1,,0,1,,0,1
2020/3/3 23:00:00,11.1,8,1,0.0,0,8,1,2.8,8,ìå,8,1,1020.5,8,1,63,8,1,8.3,8,1,,0,1,,0,1
2020/3/4 00:00:00,10.9,8,1,0.0,0,8,1,3.2,8,ìå,8,1,1020.2,8,1,63,8,1,8.2,8,1,,0,1,,0,1
2020/3/4 1:00:00,10.7,8,1,0.0,0,8,1,3.6,8,ìå,8,1,1020.4,8,1,63,8,1,8.1,8,1,,0,1,,0,1
2020/3/4 2:00:00,10.1,8,1,0.0,0,8,1,1.9,8,ñkìå,8,1,1020.4,8,1,70,8,1,8.7,8,1,,0,1,,0,1
2020/3/4 3:00:00,9.7,8,1,0,1,8,1,2.7,8,ñkñkìå,8,1,1020.2,8,1,73,8,1,8.8,8,1,4,8,1,10-,8,1
2020/3/4 4:00:00,9.7,8,1,0,1,8,1,2.6,8,ìåñkìå,8,1,1020.1,8,1,72,8,1,8.7,8,1,,0,1,,0,1
2020/3/4 5:00:00,9.4,8,1,0,1,8,1,2.5,8,ñkñkìå,8,1,1020.1,8,1,76,8,1,9.0,8,1,,0,1,,0,1
2020/3/4 6:00:00,9.5,8,1,0,1,8,1,2.2,8,ñkñkêº,8,1,1020.5,8,1,74,8,1,8.8,8,1,4,8,1,10,8,1
2020/3/4 7:00:00,9.4,8,1,0,1,8,1,2.6,8,ñk,8,1,1020.6,8,1,75,8,1,8.8,8,1,,0,1,,0,1
2020/3/4 8:00:00,9.1,8,1,0,1,8,1,2.2,8,ñkêº,8,1,1020.8,8,1,76,8,1,8.8,8,1,,0,1,,0,1
2020/3/4 9:00:00,9.3,8,1,0.0,0,8,1,2.3,8,ñk,8,1,1020.1,8,1,79,8,1,9.3,8,1,4,8,1,10,8,1
2020/3/4 10:00:00,8.5,8,1,0.5,0,8,1,1.7,8,ñkñkêº,8,1,1019.9,8,1,87,8,1,9.7,8,1,,0,1,,0,1
2020/3/4 11:00:00,8.4,8,1,0.5,0,8,1,2.1,8,ñkñkêº,8,1,1018.9,8,1,92,8,1,10.1,8,1,,0,1,,0,1
2020/3/4 12:00:00,8.2,8,1,0.0,0,8,1,2.2,8,ñkêº,8,1,1017.3,8,1,93,8,1,10.1,8,1,10,8,1,10,8,1
2020/3/4 13:00:00,8.4,8,1,0.0,0,8,1,3.1,8,ñkêº,8,1,1015.6,8,1,94,8,1,10.4,8,1,,0,1,,0,1
2020/3/4 14:00:00,8.7,8,1,0.5,0,8,1,2.4,8,ñkñkêº,8,1,1014.1,8,1,94,8,1,10.6,8,1,,0,1,,0,1
2020/3/4 15:00:00,8.7,8,1,0,1,8,1,1.5,8,ñkñkêº,8,1,1013.5,8,1,93,8,1,10.5,8,1,4,8,1,10,8,1
2020/3/4 16:00:00,8.9,8,1,0,1,8,1,2.3,8,ñkñkêº,8,1,1012.9,8,1,91,8,1,10.4,8,1,,0,1,,0,1
2020/3/4 17:00:00,8.7,8,1,0,1,8,1,2.1,8,ñkêº,8,1,1012.1,8,1,90,8,1,10.1,8,1,,0,1,,0,1
2020/3/4 18:00:00,8.7,8,1,0.0,0,8,1,0.7,8,ñk,8,1,1011.7,8,1,92,8,1,10.3,8,1,4,8,1,10,8,1
2020/3/4 19:00:00,8.5,8,1,0.0,0,8,1,0.6,8,ñkñkìå,8,1,1011.3,8,1,92,8,1,10.2,8,1,,0,1,,0,1
2020/3/4 20:00:00,8.6,8,1,0.0,0,8,1,1.3,8,ñkñkêº,8,1,1010.4,8,1,94,8,1,10.5,8,1,,0,1,,0,1
2020/3/4 21:00:00,8.7,8,1,0.0,0,8,1,1.8,8,ñkñkìå,8,1,1009.1,8,1,93,8,1,10.5,8,1,10,8,1,10,8,1
2020/3/4 22:00:00,8.4,8,1,0.0,0,8,1,1.8,8,ñkñkêº,8,1,1008.2,8,1,94,8,1,10.4,8,1,,0,1,,0,1
2020/3/4 23:00:00,8.1,8,1,0.0,0,8,1,1.7,8,ñkñkêº,8,1,1006.6,8,1,96,8,1,10.4,8,1,,0,1,,0,1
2020/3/5 00:00:00,8.0,8,1,0.0,0,8,1,1.2,8,ñk,8,1,1005.1,8,1,97,8,1,10.4,8,1,,0,1,,0,1
2020/3/5 1:00:00,7.9,8,1,1.0,0,8,1,2.2,8,ñkñkêº,8,1,1003.5,8,1,97,8,1,10.3,8,1,,0,1,,0,1
2020/3/5 2:00:00,7.9,8,1,0.0,0,8,1,2.2,8,ñkñkêº,8,1,1002.1,8,1,98,8,1,10.4,8,1,,0,1,,0,1
2020/3/5 3:00:00,7.9,8,1,0.0,0,8,1,2.2,8,ñkñkêº,8,1,1000.8,8,1,97,8,1,10.3,8,1,4,8,1,10-,8,1
2020/3/5 4:00:00,7.4,8,1,0,1,8,1,1.3,8,ñk,8,1,1000.0,8,1,95,8,1,9.8,8,1,,0,1,,0,1
2020/3/5 5:00:00,7.5,8,1,0,1,8,1,2.0,8,êºñkêº,8,1,1000.3,8,1,97,8,1,10.1,8,1,,0,1,,0,1
2020/3/5 6:00:00,6.1,8,1,0,1,8,1,1.5,8,êºñkêº,8,1,1000.4,8,1,98,8,1,9.2,8,1,2,8,1,4,8,1
2020/3/5 7:00:00,6.4,8,1,0,1,8,1,0.7,8,ìÏìÏêº,8,1,1000.5,8,1,99,8,1,9.5,8,1,,0,1,,0,1
2020/3/5 8:00:00,8.3,8,1,0,1,8,1,4.8,8,êºñkêº,8,1,1001.6,8,1,78,8,1,8.5,8,1,,0,1,,0,1
2020/3/5 9:00:00,11.1,8,1,0,1,8,1,4.3,8,ñkêº,8,1,1001.5,8,1,55,8,1,7.3,8,1,2,8,1,8,8,1
2020/3/5 10:00:00,9.5,8,1,0.0,0,8,1,4.4,8,ñkñkêº,8,1,1001.2,8,1,60,8,1,7.1,8,1,,0,1,,0,1
2020/3/5 11:00:00,11.9,8,1,0.0,0,8,1,5.2,8,ñkêº,8,1,1001.2,8,1,45,8,1,6.3,8,1,,0,1,,0,1
2020/3/5 12:00:00,12.3,8,1,0,1,8,1,7.9,8,ñkñkêº,8,1,1001.3,8,1,40,8,1,5.7,8,1,2,8,1,6,8,1
2020/3/5 13:00:00,13.1,8,1,0,1,8,1,7.4,8,ñkêº,8,1,1001.0,8,1,27,8,1,4.1,8,1,,0,1,,0,1
2020/3/5 14:00:00,13.3,8,1,0,1,8,1,6.7,8,ñkêº,8,1,1001.4,8,1,22,8,1,3.4,8,1,,0,1,,0,1
2020/3/5 15:00:00,12.3,8,1,0,1,8,1,9.6,8,ñkêº,8,1,1002.4,8,1,20,8,1,2.9,8,1,1,8,1,1,8,1
2020/3/5 16:00:00,11.9,8,1,0,1,8,1,7.0,8,ñkêº,8,1,1003.5,8,1,21,8,1,2.9,8,1,,0,1,,0,1
2020/3/5 17:00:00,10.5,8,1,0,1,8,1,8.4,8,êºñkêº,8,1,1004.5,8,1,22,8,1,2.8,8,1,,0,1,,0,1
2020/3/5 18:00:00,9.5,8,1,0,1,8,1,6.3,8,êºñkêº,8,1,1006.2,8,1,25,8,1,3.0,8,1,1,8,1,0+,8,1
2020/3/5 19:00:00,8.8,8,1,0,1,8,1,6.7,8,êºñkêº,8,1,1007.4,8,1,26,8,1,2.9,8,1,,0,1,,0,1
2020/3/5 20:00:00,8.0,8,1,0,1,8,1,7.1,8,êºñkêº,8,1,1008.3,8,1,31,8,1,3.3,8,1,,0,1,,0,1
2020/3/5 21:00:00,7.7,8,1,0,1,8,1,6.7,8,êºñkêº,8,1,1009.4,8,1,31,8,1,3.3,8,1,1,8,1,0+,8,1
2020/3/5 22:00:00,7.3,8,1,0,1,8,1,6.1,8,êºñkêº,8,1,1009.9,8,1,32,8,1,3.3,8,1,,0,1,,0,1
2020/3/5 23:00:00,6.9,8,1,0,1,8,1,7.0,8,êºñkêº,8,1,1010.1,8,1,33,8,1,3.3,8,1,,0,1,,0,1
2020/3/6 00:00:00,7.2,8,1,0,1,8,1,5.2,8,ñkêº,8,1,1010.4,8,1,29,8,1,2.9,8,1,,0,1,,0,1
2020/3/6 1:00:00,6.4,8,1,0,1,8,1,5.7,8,ñkêº,8,1,1010.8,8,1,33,8,1,3.2,8,1,,0,1,,0,1
2020/3/6 2:00:00,6.4,8,1,0,1,8,1,5.4,8,ñkêº,8,1,1011.1,8,1,32,8,1,3.1,8,1,,0,1,,0,1
2020/3/6 3:00:00,6.3,8,1,0,1,8,1,6.1,8,ñkêº,8,1,1011.1,8,1,33,8,1,3.2,8,1,1,8,1,0,8,1
2020/3/6 4:00:00,6.3,8,1,0,1,8,1,4.9,8,ñkêº,8,1,1011.5,8,1,32,8,1,3.1,8,1,,0,1,,0,1
2020/3/6 5:00:00,5.9,8,1,0,1,8,1,4.5,8,êºñkêº,8,1,1012.3,8,1,34,8,1,3.2,8,1,,0,1,,0,1
2020/3/6 6:00:00,5.8,8,1,0,1,8,1,5.1,8,êºñkêº,8,1,1012.7,8,1,35,8,1,3.2,8,1,1,8,1,0,8,1
2020/3/6 7:00:00,6.2,8,1,0,1,8,1,2.8,8,ñkêº,8,1,1013.7,8,1,35,8,1,3.3,8,1,,0,1,,0,1
2020/3/6 8:00:00,7.9,8,1,0,1,8,1,4.7,8,êºñkêº,8,1,1014.5,8,1,32,8,1,3.4,8,1,,0,1,,0,1
2020/3/6 9:00:00,9.2,8,1,0,1,8,1,6.2,8,ñkêº,8,1,1014.5,8,1,31,8,1,3.6,8,1,1,8,1,0,8,1
2020/3/6 10:00:00,11.5,8,1,0,1,8,1,6.9,8,êºñkêº,8,1,1014.3,8,1,29,8,1,3.9,8,1,,0,1,,0,1
2020/3/6 11:00:00,12.6,8,1,0,1,8,1,4.0,8,ñkêº,8,1,1014.5,8,1,29,8,1,4.2,8,1,,0,1,,0,1
2020/3/6 12:00:00,13.2,8,1,0,1,8,1,4.2,8,ñkêº,8,1,1014.0,8,1,29,8,1,4.4,8,1,1,8,1,0+,8,1
2020/3/6 13:00:00,14.5,8,1,0,1,8,1,3.3,8,ñkêº,8,1,1013.3,8,1,28,8,1,4.6,8,1,,0,1,,0,1
2020/3/6 14:00:00,15.1,8,1,0,1,8,1,2.6,8,êºñkêº,8,1,1013.2,8,1,27,8,1,4.6,8,1,,0,1,,0,1
2020/3/6 15:00:00,14.2,8,1,0,1,8,1,2.3,8,ñk,8,1,1013.6,8,1,27,8,1,4.4,8,1,1,8,1,0+,8,1
2020/3/6 16:00:00,13.2,8,1,0,1,8,1,2.3,8,êº,8,1,1014.2,8,1,27,8,1,4.1,8,1,,0,1,,0,1
2020/3/6 17:00:00,11.9,8,1,0,1,8,1,2.2,8,ìÏìÏìå,8,1,1014.8,8,1,32,8,1,4.5,8,1,,0,1,,0,1
2020/3/6 18:00:00,10.8,8,1,0,1,8,1,3.7,8,ñkêº,8,1,1015.5,8,1,34,8,1,4.4,8,1,1,8,1,0+,8,1
2020/3/6 19:00:00,10.0,8,1,0,1,8,1,5.5,8,ñkêº,8,1,1016.4,8,1,32,8,1,3.9,8,1,,0,1,,0,1
2020/3/6 20:00:00,8.7,8,1,0,1,8,1,4.2,8,ñkêº,8,1,1017.3,8,1,35,8,1,3.9,8,1,,0,1,,0,1
2020/3/6 21:00:00,7.7,8,1,0,1,8,1,3.2,8,ñkêº,8,1,1017.8,8,1,37,8,1,3.9,8,1,1,8,1,1,8,1
2020/3/6 22:00:00,7.4,8,1,0,1,8,1,0.8,8,ñk,8,1,1018.1,8,1,37,8,1,3.8,8,1,,0,1,,0,1
2020/3/6 23:00:00,7.5,8,1,0,1,8,1,2.4,8,êºñkêº,8,1,1018.3,8,1,41,8,1,4.3,8,1,,0,1,,0,1
2020/3/7 00:00:00,7.3,8,1,0,1,8,1,2.8,8,ñkñkêº,8,1,1018.5,8,1,43,8,1,4.4,8,1,,0,1,,0,1
2020/3/7 1:00:00,7.1,8,1,0.0,0,8,1,1.9,8,ñkñkêº,8,1,1018.6,8,1,44,8,1,4.4,8,1,,0,1,,0,1
2020/3/7 2:00:00,6.4,8,1,0.0,0,8,1,1.9,8,ñkêº,8,1,1019.1,8,1,54,8,1,5.2,8,1,,0,1,,0,1
2020/3/7 3:00:00,5.6,8,1,0.0,0,8,1,2.2,8,ñkñkêº,8,1,1019.0,8,1,64,8,1,5.8,8,1,10,8,1,10-,8,1
2020/3/7 4:00:00,6.1,8,1,0,1,8,1,1.4,8,ñkñkêº,8,1,1019.3,8,1,58,8,1,5.5,8,1,,0,1,,0,1
2020/3/7 5:00:00,6.0,8,1,0.0,0,8,1,1.2,8,ñkêº,8,1,1019.7,8,1,56,8,1,5.2,8,1,,0,1,,0,1
2020/3/7 6:00:00,5.7,8,1,0.0,0,8,1,2.0,8,ñkêº,8,1,1020.6,8,1,63,8,1,5.8,8,1,10,8,1,10,8,1
2020/3/7 7:00:00,5.9,8,1,0.0,0,8,1,1.8,8,ñkêº,8,1,1021.6,8,1,61,8,1,5.7,8,1,,0,1,,0,1
2020/3/7 8:00:00,6.5,8,1,0.0,0,8,1,2.5,8,ñkêº,8,1,1022.2,8,1,57,8,1,5.5,8,1,,0,1,,0,1
2020/3/7 9:00:00,5.5,8,1,0.0,0,8,1,2.6,8,ñkñkìå,8,1,1022.3,8,1,81,8,1,7.3,8,1,10,8,1,10-,8,1
2020/3/7 10:00:00,6.9,8,1,0.0,0,8,1,1.9,8,ñk,8,1,1022.5,8,1,72,8,1,7.2,8,1,,0,1,,0,1
2020/3/7 11:00:00,8.1,8,1,0.0,0,8,1,2.6,8,ñkìå,8,1,1022.0,8,1,69,8,1,7.5,8,1,,0,1,,0,1
2020/3/7 12:00:00,8.2,8,1,0.0,0,8,1,2.8,8,ñkìå,8,1,1021.2,8,1,65,8,1,7.1,8,1,4,8,1,10,8,1
2020/3/7 13:00:00,8.8,8,1,0,1,8,1,1.5,8,ñkìå,8,1,1020.2,8,1,65,8,1,7.4,8,1,,0,1,,0,1
2020/3/7 14:00:00,9.3,8,1,0,1,8,1,2.0,8,ìåñkìå,8,1,1019.2,8,1,60,8,1,7.0,8,1,,0,1,,0,1
2020/3/7 15:00:00,10.3,8,1,0,1,8,1,2.7,8,ñkìå,8,1,1019.2,8,1,58,8,1,7.3,8,1,4,8,1,10-,8,1
2020/3/7 16:00:00,9.7,8,1,0,1,8,1,2.5,8,ìåñkìå,8,1,1019.2,8,1,57,8,1,6.9,8,1,,0,1,,0,1
2020/3/7 17:00:00,8.8,8,1,0,1,8,1,3.9,8,ñkìå,8,1,1019.4,8,1,62,8,1,7.0,8,1,,0,1,,0,1
